Mto_TC,SUELDO_ESTIMADO,EDAD,ANTIGUEDAD_MES,MARCA,Nombre_territorio,REGION,SEXO,SEGMENTO,FLAG_LIMA_PROVINCIA,FLAG_UNICEF,FLAG_SS
5000,1000.0,24.0,28.0,Visa,T.CENTRO,SIERRA CENTRAL,F,CLASICO,0.0,0,0
750,2309.875,30.0,146.0,Visa,T.SURCO LA MOLINA,LIMA MODERNA,F,CLASICO,1.0,0,0
12000,6541.0,39.0,24.0,Visa,T.CENTRO,CENTRO,M,CLASICO,0.0,0,0
2200,2196.33,28.0,10.0,Visa,T.LIMA RESIDENCIAL,NORTE,M,BAJO VALOR,0.0,0,0
5000,578.0,41.0,,Visa,T.CENTRO,LIMA ESTE,M,,1.0,0,0
2400,899.0,28.0,76.0,Visa,T.CENTRO,CENTRO,M,CLASICO,0.0,0,0
6500,918.5,30.0,36.0,Visa,T.CENTRO,CENTRO,M,CLASICO,0.0,0,0
14000,2907.875,31.0,,Visa,T.CENTRO,CENTRO,M,,0.0,0,0
32500,7223.44,41.0,100.0,Visa,T.NORTE,NORTE,F,CLASICO,0.0,0,0
1600,1651.33,48.0,133.0,Visa,T.NORTE SUR CHICO,NORTE,M,CLASICO,0.0,0,0
7400,1698.75,38.0,13.0,Visa,T.NORTE SUR CHICO,NORTE,M,BAJO VALOR,0.0,0,0
12000,578.0,59.0,208.0,Visa,T.NORTE SUR CHICO,NORTE,M,BAJO VALOR,0.0,0,0
1100,903.33,28.0,27.0,Visa,T.NOR ORIENTE,ORIENTE,M,CLASICO,0.0,0,0
7100,525.0,51.0,156.0,Visa,T.NOR ORIENTE,LIMA NORTE,M,CLASICO,1.0,0,0
5000,5594.0,53.0,238.0,Visa,T.CALLAO SAN MIGUEL,LIMA MODERNA,M,Micro empresa,1.0,0,0
3000,724.5,34.0,1.0,Visa,T.CALLAO SAN MIGUEL,LIMA CENTRO,M,CLASICO,1.0,0,0
4150,1912.0,39.0,173.0,Visa,T.CALLAO SAN MIGUEL,LIMA NORTE,M,CLASICO,1.0,0,0
10000,7883.0,44.0,,Visa,T.NORTE SUR CHICO,LIMA PROVINCIA,F,,1.0,0,0
3000,1567.75,56.0,,Visa,T.NORTE SUR CHICO,LIMA PROVINCIA,F,,1.0,0,0
7500,1415.875,28.0,55.0,Visa,T.CENTRO,SIERRA CENTRAL,F,CLASICO,0.0,0,0
2500,5902.56,35.0,123.0,Visa,T.CALLAO SAN MIGUEL,CALLAO,M,CLASICO,1.0,0,0
920,1276.0,28.0,57.0,Visa,T.CALLAO SAN MIGUEL,CALLAO,F,CLASICO,1.0,0,0
1000,1611.0,47.0,149.0,Visa,T.NORTE SUR CHICO,NORTE,M,CLASICO,0.0,0,0
5700,700.0,36.0,1.0,Visa,T.CENTRO,LIMA CENTRO,F,BAJO VALOR,1.0,0,0
10200,1407.0,61.0,9.0,Visa,T.CENTRO,SIERRA CENTRAL,F,BAJO VALOR,0.0,0,0
1500,1545.38,33.0,24.0,Visa,T.CENTRO,SIERRA CENTRAL,F,CLASICO,0.0,0,0
5000,1285.0,27.0,31.0,Visa,T.CENTRO,CENTRO,F,CLASICO,0.0,0,0
9900,682.67,61.0,14.0,Visa,T.CENTRO,SIERRA CENTRAL,M,Micro empresa,0.0,0,0
700,2069.0,33.0,67.0,Visa,T.LIMA RESIDENCIAL,LIMA ESTE,M,CLASICO,1.0,0,0
1200,5841.0,28.0,57.0,Visa,T.NOR ORIENTE,ORIENTE,F,CLASICO,0.0,0,0
