Mto_TC;MARCA;Nombre_territorio;FLAG_LIMA_PROVINCIA;REGION;SUELDO_ESTIMADO;EDAD;SEXO;ANTIGUEDAD_MES;SEGMENTO;FLAG_SS;FLAG_UNICEF
5000;Visa;T.CENTRO;0;SIERRA CENTRAL;1000;24;F;28;CLASICO;;
750;Visa;T.SURCO LA MOLINA;1;LIMA MODERNA;2309.875;30;F;146;CLASICO;;
12000;Visa;T.CENTRO;0;CENTRO;6541;39;M;24;CLASICO;;
2200;Visa;T.LIMA RESIDENCIAL;0;NORTE;2196.33;28;M;10;BAJO VALOR;;
5000;Visa;T.CENTRO;1;LIMA ESTE;578;41;M;;;;
2400;Visa;T.CENTRO;0;CENTRO;899;28;M;76;CLASICO;;
6500;Visa;T.CENTRO;0;CENTRO;918.5;30;M;36;CLASICO;;
14000;Visa;T.CENTRO;0;CENTRO;2907.875;31;M;;;;
32500;Visa;T.NORTE;0;NORTE;7223.44;41;F;100;CLASICO;;
1600;Visa;T.NORTE SUR CHICO;0;NORTE;1651.33;48;M;133;CLASICO;;
7400;Visa;T.NORTE SUR CHICO;0;NORTE;1698.75;38;M;13;BAJO VALOR;;
12000;Visa;T.NORTE SUR CHICO;0;NORTE;578;59;M;208;BAJO VALOR;;
1100;Visa;T.NOR ORIENTE;0;ORIENTE;903.33;28;M;27;CLASICO;;
7100;Visa;T.NOR ORIENTE;1;LIMA NORTE;525;51;M;156;CLASICO;;
5000;Visa;T.CALLAO SAN MIGUEL;1;LIMA MODERNA;5594;53;M;238;Micro empresa;;
3000;Visa;T.CALLAO SAN MIGUEL;1;LIMA CENTRO;724.5;34;M;1;CLASICO;;
4150;Visa;T.CALLAO SAN MIGUEL;1;LIMA NORTE;1912;39;M;173;CLASICO;;
10000;Visa;T.NORTE SUR CHICO;1;LIMA PROVINCIA;7883;44;F;;;;
3000;Visa;T.NORTE SUR CHICO;1;LIMA PROVINCIA;1567.75;56;F;;;;
7500;Visa;T.CENTRO;0;SIERRA CENTRAL;1415.875;28;F;55;CLASICO;;
2500;Visa;T.CALLAO SAN MIGUEL;1;CALLAO;5902.56;35;M;123;CLASICO;;
920;Visa;T.CALLAO SAN MIGUEL;1;CALLAO;1276;28;F;57;CLASICO;;
1000;Visa;T.NORTE SUR CHICO;0;NORTE;1611;47;M;149;CLASICO;;
5700;Visa;T.CENTRO;1;LIMA CENTRO;700;36;F;1;BAJO VALOR;;
10200;Visa;T.CENTRO;0;SIERRA CENTRAL;1407;61;F;9;BAJO VALOR;;
1500;Visa;T.CENTRO;0;SIERRA CENTRAL;1545.38;33;F;24;CLASICO;;
5000;Visa;T.CENTRO;0;CENTRO;1285;27;F;31;CLASICO;;
9900;Visa;T.CENTRO;0;SIERRA CENTRAL;682.67;61;M;14;Micro empresa;;
700;Visa;T.LIMA RESIDENCIAL;1;LIMA ESTE;2069;33;M;67;CLASICO;;
1200;Visa;T.NOR ORIENTE;0;ORIENTE;5841;28;F;57;CLASICO;;
3000;Visa;T.NOR ORIENTE;1;LIMA CENTRO;676.5;26;F;19;BAJO VALOR;;
10000;Visa;T.LIMA RESIDENCIAL;1;LIMA MODERNA;3874.38;32;M;45;VIP;;
5500;Visa;T.LIMA RESIDENCIAL;1;LIMA ESTE;1495.125;28;M;55;CLASICO;;
700;Visa;T.NOR ORIENTE;0;ORIENTE;1203.75;28;M;22;CLASICO;;
12000;Visa;T.NOR ORIENTE;0;ORIENTE;2850;31;F;55;CLASICO;;
5000;Visa;T.NORTE SUR CHICO;1;LIMA SUR;2099.89;25;M;40;CLASICO;;
700;Visa;T.NOR ORIENTE;0;ORIENTE;242;48;F;186;CLASICO;;
700;Visa;T.NORTE SUR CHICO;1;LIMA ESTE;2091;32;M;51;CLASICO;;
2000;Visa;T.NORTE SUR CHICO;1;LIMA PROVINCIA;2379.375;52;M;;;;
18000;Visa;T.LINCE;1;LIMA CENTRO;3496.22;36;F;218;CLASICO;;
800;Visa;T.LINCE;1;LIMA CENTRO;1851.875;30;F;22;CLASICO;;
15000;Visa;T.LINCE;1;LIMA CENTRO;8117;35;M;117;VIP;;
5000;Visa;T.LINCE;1;LIMA ESTE;2295.22;30;M;99;CLASICO;;
12000;Visa;T.LINCE;1;LIMA MODERNA;10500;31;F;3;VIP;;
39000;Visa;T.CALLAO SAN MIGUEL;1;CALLAO;12501;55;M;244;VIP;;
3000;Visa;T.CALLAO SAN MIGUEL;1;CALLAO;525;54;F;2;BAJO VALOR;;
26000;Visa;T.NORTE SUR CHICO;0;SUR;2905;30;F;117;CLASICO;;
